"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","8,317.59","8,339.23","8,339.23","8,263.77","775.44M","-0.26%"
"23/05/2024","8,339.23","8,370.33","8,385.23","8,332.27","1.20B","-0.37%"
"22/05/2024","8,370.33","8,416.45","8,416.45","8,343.36","1.13B","-0.55%"
"21/05/2024","8,416.45","8,424.20","8,424.20","8,379.12","999.13M","-0.09%"
"20/05/2024","8,424.20","8,420.26","8,451.64","8,417.95","739.02M","0.05%"
"17/05/2024","8,420.26","8,438.65","8,441.68","8,401.40","1.01B","-0.22%"
"16/05/2024","8,438.65","8,445.80","8,455.66","8,406.69","889.77M","-0.08%"
"15/05/2024","8,445.80","8,428.13","8,474.41","8,427.92","924.33M","0.21%"
"14/05/2024","8,428.13","8,414.99","8,448.67","8,406.96","1.16B","0.16%"
"13/05/2024","8,414.99","8,433.76","8,446.46","8,409.15","974.77M","-0.22%"
"10/05/2024","8,433.76","8,381.35","8,455.77","8,381.35","697.31M","0.63%"
"09/05/2024","8,381.35","8,354.05","8,396.25","8,349.83","1.04B","0.33%"
"08/05/2024","8,354.05","8,313.67","8,365.28","8,313.67","1.21B","0.49%"
"07/05/2024","8,313.67","8,213.49","8,335.68","8,213.49","1.21B","1.22%"
"03/05/2024","8,213.49","8,172.15","8,248.73","8,172.15","593.36M","0.51%"
"02/05/2024","8,172.15","8,121.24","8,178.76","8,119.85","849.98M","0.63%"
"01/05/2024","8,121.24","8,144.13","8,178.95","8,111.38","562.09M","-0.28%"
"30/04/2024","8,144.13","8,147.03","8,199.95","8,138.14","857.15M","-0.04%"
"29/04/2024","8,147.03","8,139.83","8,189.14","8,136.71","755.83M","0.09%"
"26/04/2024","8,139.83","8,078.86","8,146.79","8,078.86","801.60M","0.75%"
"25/04/2024","8,078.86","8,040.38","8,105.59","8,030.05","1.12B","0.48%"
"24/04/2024","8,040.38","8,044.81","8,092.20","8,031.79","1.24B","-0.06%"
"23/04/2024","8,044.81","8,023.87","8,076.52","8,021.67","933.44M","0.26%"
"22/04/2024","8,023.87","7,895.85","8,042.81","7,895.85","990.46M","1.62%"
"19/04/2024","7,895.85","7,877.05","7,900.51","7,809.68","898.82M","0.24%"
"18/04/2024","7,877.05","7,847.99","7,898.77","7,845.89","1.15B","0.37%"
