"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","12,296.0","12,334.0","12,362.0","12,250.0","917.48K","-0.87%"
"23/05/2024","12,404.0","12,330.0","12,450.0","12,264.0","1.44M","0.36%"
"22/05/2024","12,360.0","12,358.0","12,440.0","12,255.2","1.79M","-0.03%"
"21/05/2024","12,364.0","12,150.0","12,438.0","12,130.0","2.15M","2.22%"
"20/05/2024","12,096.0","12,090.0","12,118.0","12,038.0","1.53M","-0.12%"
"17/05/2024","12,110.0","12,186.0","12,200.0","12,068.0","1.60M","-0.46%"
"16/05/2024","12,166.0","12,180.0","12,198.0","12,076.0","1.61M","-0.05%"
"15/05/2024","12,172.0","12,240.0","12,316.0","12,132.0","1.41M","-0.60%"
"14/05/2024","12,246.0","12,324.0","12,406.0","12,246.0","6.02M","-0.58%"
"13/05/2024","12,318.0","12,326.0","12,428.0","12,252.0","4.01M","-0.42%"
"10/05/2024","12,370.0","12,350.0","12,442.0","12,313.8","1.41M","0.31%"
"09/05/2024","12,332.0","12,268.0","12,388.0","12,254.0","1.33M","0.55%"
"08/05/2024","12,264.0","12,244.0","12,382.2","12,228.0","1.92M","1.20%"
"07/05/2024","12,118.0","11,966.0","12,162.0","11,966.0","2.56M","0.56%"
"03/05/2024","12,050.0","12,092.0","12,178.0","12,010.0","1.64M","-0.87%"
"02/05/2024","12,156.0","12,114.0","12,258.0","12,120.0","1.96M","-0.12%"
"01/05/2024","12,170.0","12,194.0","12,270.0","12,062.0","867.63K","0.90%"
"30/04/2024","12,062.0","11,950.0","12,144.0","11,886.0","2.48M","0.32%"
"29/04/2024","12,024.0","12,254.0","12,488.0","12,018.0","3.70M","0.30%"
"26/04/2024","11,988.0","12,070.0","12,144.0","11,884.0","2.34M","-0.32%"
"25/04/2024","12,026.0","11,890.0","12,096.0","11,650.0","4.65M","5.94%"
"24/04/2024","11,352.0","11,200.0","11,412.0","11,200.0","3.58M","0.75%"
"23/04/2024","11,268.0","11,250.0","11,396.0","11,038.0","3.56M","0.16%"
"22/04/2024","11,250.0","11,034.0","11,306.0","10,602.0","3.24M","2.78%"
"19/04/2024","10,946.0","10,914.0","11,008.0","10,688.0","1.40M","0.29%"
"18/04/2024","10,914.0","10,946.0","11,018.0","10,796.0","2.43M","0.48%"
"17/04/2024","10,862.0","10,774.0","10,948.0","10,774.0","2.22M","-0.15%"
"16/04/2024","10,878.0","11,020.0","11,022.0","10,822.0","1.31M","-1.32%"
"15/04/2024","11,024.0","11,030.0","11,118.0","10,932.0","1.33M","-0.36%"
"12/04/2024","11,064.0","10,982.0","11,186.0","10,826.0","2.60M","0.93%"
"11/04/2024","10,962.0","10,666.0","11,092.0","10,666.0","2.69M","2.14%"
"10/04/2024","10,732.0","10,762.0","10,826.0","10,618.0","1.49M","0.22%"
"09/04/2024","10,708.0","10,432.0","10,714.0","10,432.0","1.71M","0.92%"
"08/04/2024","10,610.0","10,588.0","10,648.0","10,504.0","1.43M","-0.09%"
"05/04/2024","10,620.0","10,540.0","10,716.0","10,526.7","2.60M","-1.08%"
"04/04/2024","10,736.0","10,566.0","10,844.0","10,498.0","1.98M","1.65%"
"03/04/2024","10,562.0","10,520.0","10,592.0","10,417.6","2.04M","-0.40%"
"02/04/2024","10,604.0","10,810.0","10,830.0","10,562.0","1.88M","-0.69%"
"28/03/2024","10,678.0","10,808.0","10,808.0","10,668.0","1.75M","-0.60%"
"27/03/2024","10,742.0","10,460.0","10,748.0","10,454.0","2.59M","2.89%"
"26/03/2024","10,440.0","10,458.0","10,458.0","10,304.0","1.45M","0.44%"
"25/03/2024","10,394.0","10,434.0","10,546.0","10,350.9","2.28M","-0.84%"
"22/03/2024","10,482.0","10,536.0","10,548.0","10,264.0","1.24M","0.52%"
"21/03/2024","10,428.0","10,166.0","10,446.1","10,166.0","1.79M","2.60%"
"20/03/2024","10,164.0","10,102.0","10,376.0","10,102.0","1.10M","-0.63%"
"19/03/2024","10,228.0","10,184.0","10,352.0","10,152.0","1.78M","-0.60%"
"18/03/2024","10,290.0","10,340.0","10,356.0","10,226.0","3.87M","-0.04%"
"15/03/2024","10,294.0","10,390.0","10,488.0","10,284.9","5.21M","-1.04%"
"14/03/2024","10,402.0","10,536.0","10,536.0","10,388.0","2.74M","-0.54%"
"13/03/2024","10,458.0","10,434.0","10,516.0","10,346.0","4.07M","0.21%"
"12/03/2024","10,436.0","10,498.0","10,534.0","10,430.0","3.24M","-0.13%"
"11/03/2024","10,450.0","10,198.0","10,450.0","10,100.0","8.85M","2.49%"
"08/03/2024","10,196.0","10,214.0","10,258.0","10,142.0","1.58M","-0.37%"
"07/03/2024","10,234.0","10,132.0","10,250.0","10,082.0","2.60M","0.93%"
"06/03/2024","10,140.0","10,100.0","10,174.0","10,008.0","1.88M","0.28%"
"05/03/2024","10,112.0","10,090.0","10,162.0","9,985.0","1.42M","0.66%"
"04/03/2024","10,046.0","10,108.0","10,128.0","10,000.7","2.09M","-0.34%"
"01/03/2024","10,080.0","10,046.0","10,126.0","9,923.0","2.73M","0.97%"
"29/02/2024","9,983.0","10,272.0","10,272.0","9,978.0","4.50M","-1.94%"
