"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","2,390.0","2,400.0","2,417.0","2,390.0","3.04M","-1.40%"
"23/05/2024","2,424.0","2,479.0","2,479.0","2,424.0","9.91M","-1.62%"
"22/05/2024","2,464.0","2,463.0","2,469.0","2,447.0","2.97M","-0.36%"
"21/05/2024","2,473.0","2,462.0","2,491.0","2,447.0","7.97M","-0.12%"
"20/05/2024","2,476.0","2,477.0","2,483.0","2,466.0","4.31M","0.04%"
"17/05/2024","2,475.0","2,487.0","2,496.0","2,469.0","8.29M","-0.44%"
"16/05/2024","2,486.0","2,464.0","2,493.0","2,461.0","4.01M","0.81%"
"15/05/2024","2,466.0","2,470.0","2,494.0","2,450.0","4.41M","0.04%"
"14/05/2024","2,465.0","2,458.0","2,473.0","2,453.0","13.88M","0.20%"
"13/05/2024","2,460.0","2,432.0","2,465.0","2,431.0","2.99M","1.11%"
"10/05/2024","2,433.0","2,409.0","2,447.0","2,386.0","5.57M","1.33%"
"09/05/2024","2,401.0","2,408.0","2,425.0","2,399.0","9.95M","-0.21%"
"08/05/2024","2,406.0","2,397.0","2,410.0","2,384.0","4.30M","0.80%"
"07/05/2024","2,387.0","2,366.0","2,402.5","2,363.0","7.44M","1.36%"
"03/05/2024","2,355.0","2,371.0","2,391.0","2,355.0","4.18M","-0.67%"
"02/05/2024","2,371.0","2,358.0","2,377.0","2,352.0","4.85M","0.94%"
"01/05/2024","2,349.0","2,346.0","2,359.0","2,334.0","1.80M","-0.09%"
"30/04/2024","2,351.0","2,348.0","2,365.0","2,312.0","3.42M","0.26%"
"29/04/2024","2,345.0","2,336.0","2,368.0","2,338.0","4.15M","0.82%"
"26/04/2024","2,326.0","2,344.0","2,359.0","2,325.0","3.11M","-0.47%"
"25/04/2024","2,337.0","2,348.0","2,363.0","2,323.0","7.92M","-0.38%"
"24/04/2024","2,346.0","2,368.0","2,377.0","2,343.0","4.71M","-0.59%"
"23/04/2024","2,360.0","2,377.0","2,388.3","2,360.0","6.43M","0.00%"
"22/04/2024","2,360.0","2,349.0","2,365.0","2,338.0","3.71M","2.16%"
"19/04/2024","2,310.0","2,301.0","2,315.0","2,267.0","12.01M","0.74%"
"18/04/2024","2,293.0","2,292.0","2,309.0","2,287.0","3.62M","0.75%"
"17/04/2024","2,276.0","2,267.0","2,288.0","2,251.0","4.49M","0.40%"
"16/04/2024","2,267.0","2,270.0","2,279.9","2,255.0","6.03M","-0.87%"
"15/04/2024","2,287.0","2,300.0","2,321.0","2,276.0","5.25M","-0.87%"
"12/04/2024","2,307.0","2,306.0","2,329.0","2,297.0","5.13M","0.17%"
"11/04/2024","2,303.0","2,308.0","2,323.0","2,294.0","4.24M","-0.22%"
"10/04/2024","2,308.0","2,304.0","2,350.0","2,301.0","17.15M","-0.43%"
"09/04/2024","2,318.0","2,332.0","2,342.0","2,316.0","14.67M","-0.60%"
"08/04/2024","2,332.0","2,330.0","2,343.0","2,317.0","4.65M","0.13%"
"05/04/2024","2,329.0","2,335.0","2,351.0","2,322.0","13.10M","-1.15%"
"04/04/2024","2,356.0","2,373.0","2,377.4","2,348.0","4.07M","-0.84%"
"03/04/2024","2,376.0","2,391.0","2,402.8","2,371.5","10.78M","-1.16%"
"02/04/2024","2,404.0","2,429.0","2,432.0","2,391.0","3.15M","-0.08%"
"28/03/2024","2,406.0","2,386.5","2,412.0","2,371.5","3.23M","0.71%"
"27/03/2024","2,389.0","2,365.0","2,394.0","2,349.0","8.10M","0.97%"
"26/03/2024","2,366.0","2,369.5","2,374.1","2,355.0","14.56M","-0.40%"
"25/03/2024","2,375.5","2,366.0","2,383.0","2,342.5","6.62M","-0.02%"
"22/03/2024","2,376.0","2,369.0","2,390.5","2,366.5","4.34M","0.59%"
"21/03/2024","2,362.0","2,345.0","2,409.0","2,341.6","5.09M","-1.36%"
"20/03/2024","2,394.5","2,412.5","2,416.0","2,365.0","11.03M","-0.73%"
"19/03/2024","2,412.0","2,420.0","2,437.0","2,384.5","6.00M","0.54%"
"18/03/2024","2,399.0","2,365.5","2,404.5","2,326.0","10.73M","2.50%"
"15/03/2024","2,340.5","2,377.0","2,385.9","2,340.0","40.52M","-1.68%"
