"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","483.00","479.30","485.45","476.70","30.74M","0.09%"
"23/05/2024","482.55","479.85","486.45","476.70","35.34M","0.18%"
"22/05/2024","481.70","481.75","485.10","478.80","48.07M","-1.85%"
"21/05/2024","490.80","488.80","494.20","485.55","68.29M","-0.09%"
"20/05/2024","491.25","492.20","497.10","491.20","74.14M","-0.01%"
"17/05/2024","491.30","491.00","492.75","487.10","29.98M","0.41%"
"16/05/2024","489.30","491.70","499.95","485.55","31.64M","-1.54%"
"15/05/2024","496.95","504.00","507.10","492.65","28.25M","-1.07%"
"14/05/2024","502.30","507.60","510.80","501.30","65.51M","-0.53%"
"13/05/2024","505.00","505.20","507.00","502.10","25.99M","-0.24%"
"10/05/2024","506.20","506.10","511.70","505.30","38.20M","0.42%"
"09/05/2024","504.10","502.10","508.10","497.45","69.95M","0.72%"
"08/05/2024","500.50","498.00","500.50","490.80","99.08M","-0.64%"
"07/05/2024","503.70","506.40","515.50","499.79","57.49M","-1.31%"
"03/05/2024","510.40","516.30","516.70","506.10","26.15M","-1.05%"
"02/05/2024","515.80","508.50","517.40","503.60","31.29M","1.26%"
"01/05/2024","509.40","520.00","528.90","508.50","20.71M","-2.11%"
"30/04/2024","520.40","526.00","529.30","520.40","27.22M","-0.55%"
"29/04/2024","523.30","524.80","527.80","523.00","22.28M","-0.29%"
"26/04/2024","524.80","529.30","534.02","522.30","25.94M","-0.29%"
"25/04/2024","526.30","523.30","529.60","521.90","61.53M","0.13%"
"24/04/2024","525.60","529.20","532.30","519.90","57.89M","0.48%"
"23/04/2024","523.10","524.20","530.60","521.00","51.68M","0.11%"
"22/04/2024","522.50","516.10","523.80","515.00","31.67M","1.48%"
"19/04/2024","514.90","510.80","516.01","504.20","42.63M","0.49%"
"18/04/2024","512.40","511.80","520.00","508.20","36.63M","-0.85%"
"17/04/2024","516.80","513.30","520.10","510.20","32.43M","0.23%"
"16/04/2024","515.60","521.70","530.50","511.90","36.90M","-2.22%"
"15/04/2024","527.30","528.50","533.60","522.40","45.81M","-2.19%"
"12/04/2024","539.10","530.00","541.00","529.90","49.24M","3.67%"
"11/04/2024","520.00","523.00","531.50","518.40","30.95M","-0.02%"
"10/04/2024","520.10","519.70","523.50","513.50","31.07M","0.68%"
"09/04/2024","516.60","514.00","520.30","513.40","51.10M","1.31%"
"08/04/2024","509.90","505.30","513.80","503.90","53.97M","0.75%"
"05/04/2024","506.10","509.00","512.10","505.05","57.01M","-0.55%"
"04/04/2024","508.90","512.00","512.80","505.40","46.50M","-0.53%"
