"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","141.15","142.15","144.80","140.90","18.75M","-1.91%"
"23/05/2024","143.90","145.90","146.36","142.85","21.25M","-2.31%"
"22/05/2024","147.30","147.60","148.85","146.50","15.77M","-0.54%"
"21/05/2024","148.10","145.45","148.10","144.15","15.83M","1.30%"
"20/05/2024","146.20","145.90","148.55","145.54","12.63M","1.14%"
"17/05/2024","144.55","146.45","147.72","142.45","21.21M","-1.26%"
"16/05/2024","146.40","143.90","146.40","143.70","17.21M","1.56%"
"15/05/2024","144.15","140.30","144.40","140.00","65.58M","3.41%"
"14/05/2024","139.40","137.45","139.55","137.20","33.05M","1.42%"
"13/05/2024","137.45","137.40","138.54","136.55","17.32M","-0.04%"
"10/05/2024","137.50","136.35","138.60","136.44","17.47M","1.07%"
"09/05/2024","136.05","134.25","136.30","133.85","110.01M","1.49%"
"08/05/2024","134.05","134.15","134.60","132.35","18.35M","2.21%"
"07/05/2024","131.15","130.95","131.82","130.00","13.70M","2.02%"
"03/05/2024","128.55","127.90","131.00","126.95","13.73M","1.22%"
"02/05/2024","127.00","127.90","129.55","126.65","24.53M","-0.35%"
"01/05/2024","127.45","127.75","130.05","126.73","10.24M","-0.39%"
"30/04/2024","127.95","131.45","131.85","127.59","23.45M","-2.37%"
"29/04/2024","131.05","133.70","134.90","130.58","14.61M","-1.98%"
"26/04/2024","133.70","131.60","135.21","131.60","17.05M","1.75%"
"25/04/2024","131.40","131.50","131.83","129.75","11.84M","-0.19%"
"24/04/2024","131.65","133.15","134.20","130.95","13.73M","-1.24%"
"23/04/2024","133.30","132.45","133.60","131.35","31.82M","1.18%"
"22/04/2024","131.75","132.70","133.00","130.25","26.97M","0.04%"
"19/04/2024","131.70","130.40","132.05","128.60","22.14M","0.73%"
"18/04/2024","130.75","132.40","132.70","130.57","133.00M","-0.46%"
"17/04/2024","131.35","130.55","131.75","129.95","47.17M","0.31%"
"16/04/2024","130.95","129.50","132.90","128.95","22.22M","0.34%"
"15/04/2024","130.50","133.30","133.80","130.38","17.18M","-2.10%"
"12/04/2024","133.30","130.75","133.73","130.60","19.12M","2.30%"
"11/04/2024","130.30","126.05","131.75","125.96","39.99M","3.41%"
"10/04/2024","126.00","127.25","128.80","124.70","172.91M","-0.36%"
"09/04/2024","126.45","125.30","127.00","124.65","28.41M","0.20%"
"08/04/2024","126.20","124.15","127.55","123.80","13.56M","1.73%"
"05/04/2024","124.05","125.75","127.65","123.90","21.07M","-2.21%"
"04/04/2024","126.85","126.30","127.40","124.85","24.20M","0.91%"
"03/04/2024","125.70","126.60","127.25","124.00","47.60M","-0.95%"
"02/04/2024","126.90","129.45","130.30","126.90","19.74M","-0.59%"
"28/03/2024","127.65","129.35","130.15","127.30","20.72M","-1.05%"
"27/03/2024","129.00","127.60","129.80","126.25","17.15M","1.74%"
"26/03/2024","126.80","126.45","127.40","125.80","19.42M","-0.12%"
"25/03/2024","126.95","126.80","127.25","125.25","35.24M","0.00%"
"22/03/2024","126.95","125.40","127.40","124.55","30.00M","1.40%"
"21/03/2024","125.20","128.25","128.34","124.60","105.69M","-1.34%"
"20/03/2024","126.90","127.85","128.35","126.59","28.28M","-1.05%"
"19/03/2024","128.25","129.00","130.45","126.45","21.96M","-1.08%"
"18/03/2024","129.65","130.35","133.10","129.25","60.93M","-2.00%"
"15/03/2024","132.30","129.75","133.25","129.55","46.94M","1.97%"
"14/03/2024","129.75","128.85","130.65","127.30","20.85M","1.29%"
"13/03/2024","128.10","128.45","131.35","126.83","57.66M","0.16%"
"12/03/2024","127.90","131.35","131.45","127.90","29.78M","-1.77%"
"11/03/2024","130.20","132.25","133.50","129.35","37.53M","-1.92%"
"08/03/2024","132.75","132.85","133.75","130.20","30.20M","-0.15%"
"07/03/2024","132.95","130.45","133.60","129.50","64.25M","1.92%"
"06/03/2024","130.45","128.35","132.95","128.02","121.54M","2.11%"
"05/03/2024","127.75","125.00","127.83","123.70","50.10M","1.91%"
"04/03/2024","125.35","126.45","127.95","123.75","24.58M","-0.87%"
"01/03/2024","126.45","125.05","129.20","125.05","19.02M","0.48%"
"29/02/2024","125.85","126.55","128.50","124.45","65.31M","-0.28%"
"28/02/2024","126.20","126.20","128.05","124.20","40.40M","0.60%"
"27/02/2024","125.45","123.80","126.10","123.35","96.45M","0.60%"
"26/02/2024","124.70","127.75","127.96","124.00","30.42M","-2.31%"
"23/02/2024","127.65","128.15","129.35","125.22","24.02M","-0.74%"
"22/02/2024","128.60","129.45","131.35","128.50","23.76M","-0.54%"
"21/02/2024","129.30","133.15","134.25","129.27","100.86M","-3.07%"
