"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","2,693.0","2,691.0","2,709.0","2,673.5","3.58M","-0.61%"
"23/05/2024","2,709.5","2,743.0","2,749.5","2,707.0","4.27M","-1.31%"
"22/05/2024","2,745.5","2,735.0","2,750.0","2,718.5","8.83M","-0.22%"
"21/05/2024","2,751.5","2,748.5","2,811.0","2,746.5","2.94M","-1.52%"
"20/05/2024","2,794.0","2,800.0","2,813.3","2,782.0","2.35M","-0.23%"
"17/05/2024","2,800.5","2,817.5","2,827.0","2,791.0","2.31M","-0.59%"
"16/05/2024","2,817.0","2,804.0","2,833.5","2,791.1","2.57M","0.50%"
"15/05/2024","2,803.0","2,839.0","2,847.4","2,802.5","2.15M","-1.27%"
"14/05/2024","2,839.0","2,827.5","2,862.5","2,823.5","2.44M","0.26%"
"13/05/2024","2,831.5","2,851.0","2,873.5","2,824.5","1.76M","-0.65%"
"10/05/2024","2,850.0","2,841.0","2,852.0","2,832.0","2.20M","0.46%"
"09/05/2024","2,837.0","2,817.5","2,847.0","2,814.0","1.90M","1.03%"
"08/05/2024","2,808.0","2,770.5","2,814.5","2,779.0","3.73M","1.91%"
"07/05/2024","2,755.5","2,744.5","2,777.0","2,744.0","4.56M","0.97%"
"03/05/2024","2,729.0","2,743.5","2,775.5","2,727.5","2.43M","0.02%"
"02/05/2024","2,728.5","2,745.0","2,763.0","2,718.5","3.10M","-0.51%"
"01/05/2024","2,742.5","2,771.0","2,786.5","2,739.0","1.65M","-1.19%"
"30/04/2024","2,775.5","2,771.5","2,806.0","2,766.0","3.31M","0.22%"
"29/04/2024","2,769.5","2,775.0","2,801.5","2,767.0","3.28M","-0.23%"
"26/04/2024","2,776.0","2,770.0","2,794.0","2,742.0","3.74M","0.62%"
"25/04/2024","2,759.0","2,795.5","2,812.0","2,740.3","4.77M","-1.88%"
"24/04/2024","2,812.0","2,818.5","2,839.1","2,807.5","2.38M","-0.25%"
"23/04/2024","2,819.0","2,847.5","2,874.5","2,816.3","4.06M","-1.33%"
"22/04/2024","2,857.0","2,860.5","2,904.0","2,848.0","2.76M","0.72%"
"19/04/2024","2,836.5","2,812.0","2,836.5","2,790.5","4.40M","0.48%"
"18/04/2024","2,823.0","2,819.5","2,859.5","2,782.0","6.32M","0.86%"
"17/04/2024","2,799.0","2,727.0","2,817.5","2,711.5","5.19M","1.93%"
"16/04/2024","2,746.0","2,750.0","2,787.0","2,742.5","5.98M","-0.87%"
"15/04/2024","2,770.0","2,755.5","2,792.0","2,734.0","3.78M","-0.50%"
"12/04/2024","2,784.0","2,804.5","2,823.0","2,784.0","3.28M","-0.75%"
"11/04/2024","2,805.0","2,810.5","2,842.0","2,805.0","5.41M","-0.71%"
"10/04/2024","2,825.0","2,828.5","2,843.5","2,792.0","6.10M","0.57%"
"09/04/2024","2,809.0","2,806.0","2,839.5","2,801.0","2.46M","-0.48%"
"08/04/2024","2,822.5","2,840.5","2,843.3","2,813.4","2.07M","-0.95%"
"05/04/2024","2,849.5","2,870.5","2,894.5","2,848.5","2.97M","-2.08%"
"04/04/2024","2,910.0","2,911.5","2,925.0","2,896.5","4.74M","-0.51%"
"03/04/2024","2,925.0","2,933.5","2,955.0","2,902.5","4.08M","-1.02%"
"02/04/2024","2,955.0","2,920.5","2,955.0","2,916.5","5.04M","1.01%"
"28/03/2024","2,925.5","2,940.0","2,951.0","2,920.0","2.80M","-0.43%"
"27/03/2024","2,938.0","2,921.5","2,949.0","2,899.5","8.89M","0.38%"
"26/03/2024","2,927.0","2,863.0","2,927.0","2,863.0","4.42M","1.37%"
