"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","1,774.50","1,780.00","1,793.50","1,766.50","4.16M","-0.20%"
"23/05/2024","1,778.00","1,796.00","1,808.50","1,772.50","6.74M","-0.59%"
"22/05/2024","1,788.50","1,743.50","1,791.50","1,733.50","10.46M","1.85%"
"21/05/2024","1,756.00","1,770.00","1,767.50","1,740.00","8.29M","-1.07%"
"20/05/2024","1,775.00","1,775.50","1,778.50","1,769.00","2.85M","0.00%"
"17/05/2024","1,775.00","1,773.50","1,779.50","1,764.50","9.69M","-0.48%"
"16/05/2024","1,783.50","1,792.50","1,823.50","1,775.50","5.28M","-1.60%"
"15/05/2024","1,812.50","1,811.00","1,820.00","1,803.00","4.86M","0.14%"
"14/05/2024","1,810.00","1,805.00","1,812.50","1,796.50","4.74M","0.00%"
"13/05/2024","1,810.00","1,797.00","1,810.00","1,786.00","4.24M","0.58%"
"10/05/2024","1,799.50","1,784.00","1,799.50","1,780.00","4.71M","1.07%"
"09/05/2024","1,780.50","1,780.00","1,787.00","1,772.00","6.40M","0.39%"
"08/05/2024","1,773.50","1,770.00","1,776.00","1,766.00","5.87M","0.71%"
"07/05/2024","1,761.00","1,736.00","1,767.25","1,737.00","14.30M","1.59%"
"03/05/2024","1,733.50","1,733.00","1,739.50","1,724.50","4.24M","0.29%"
"02/05/2024","1,728.50","1,705.00","1,739.56","1,695.50","6.28M","1.38%"
"01/05/2024","1,705.00","1,685.50","1,718.50","1,673.00","5.85M","1.91%"
"30/04/2024","1,673.00","1,661.50","1,679.50","1,643.00","6.58M","0.18%"
"29/04/2024","1,670.00","1,650.00","1,677.00","1,648.00","5.88M","1.03%"
"26/04/2024","1,653.00","1,638.50","1,655.00","1,633.99","3.35M","0.76%"
"25/04/2024","1,640.50","1,642.00","1,656.50","1,626.00","5.37M","0.28%"
"24/04/2024","1,636.00","1,656.50","1,668.00","1,636.00","3.75M","-0.91%"
"23/04/2024","1,651.00","1,650.50","1,656.00","1,636.00","4.24M","0.70%"
"22/04/2024","1,639.50","1,618.00","1,647.50","1,610.50","6.31M","2.53%"
"19/04/2024","1,599.00","1,579.50","1,600.00","1,564.50","4.23M","0.98%"
"18/04/2024","1,583.50","1,593.00","1,604.50","1,580.00","5.76M","-0.41%"
"17/04/2024","1,590.00","1,598.00","1,603.00","1,576.00","6.51M","-1.27%"
"16/04/2024","1,610.50","1,626.50","1,653.50","1,595.00","7.93M","-2.01%"
"15/04/2024","1,643.50","1,638.50","1,648.00","1,631.00","5.19M","0.00%"
"12/04/2024","1,643.50","1,631.50","1,651.75","1,628.50","6.11M","0.89%"
"11/04/2024","1,629.00","1,618.50","1,642.00","1,617.50","7.45M","0.49%"
"10/04/2024","1,621.00","1,625.50","1,633.50","1,606.00","6.15M","0.31%"
"09/04/2024","1,616.00","1,612.00","1,617.59","1,605.50","6.75M","-0.25%"
"08/04/2024","1,620.00","1,629.00","1,629.63","1,616.00","4.06M","-0.58%"
"05/04/2024","1,629.50","1,609.00","1,629.50","1,593.50","6.40M","-0.49%"
"04/04/2024","1,637.50","1,654.00","1,671.00","1,635.00","11.77M","-1.00%"
"03/04/2024","1,654.00","1,661.50","1,665.00","1,640.50","7.26M","-0.54%"
"02/04/2024","1,663.00","1,653.00","1,708.60","1,659.50","6.25M","-2.67%"
"28/03/2024","1,708.60","1,701.60","1,712.80","1,691.20","7.46M","0.20%"
"27/03/2024","1,705.20","1,700.00","1,705.20","1,681.20","4.25M","0.44%"
"26/03/2024","1,697.80","1,695.20","1,705.40","1,684.40","7.75M","0.19%"
"25/03/2024","1,694.60","1,683.00","1,694.60","1,679.40","6.05M","0.46%"
"22/03/2024","1,686.80","1,678.40","1,694.00","1,678.40","9.98M","0.78%"
"21/03/2024","1,673.80","1,641.80","1,681.20","1,638.60","5.12M","1.64%"
"20/03/2024","1,646.80","1,664.00","1,667.80","1,645.20","5.68M","-1.06%"
"19/03/2024","1,664.40","1,662.00","1,670.80","1,650.80","10.48M","0.22%"
"18/03/2024","1,660.80","1,656.40","1,666.40","1,639.60","9.51M","0.68%"
"15/03/2024","1,649.60","1,687.80","1,698.00","1,646.40","19.02M","-2.26%"
"14/03/2024","1,687.80","1,700.00","1,709.00","1,679.40","5.25M","-0.44%"
"13/03/2024","1,695.20","1,685.40","1,696.20","1,675.00","9.36M","0.59%"
