"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","693.40","689.30","697.10","683.80","15.15M","0.29%"
"23/05/2024","691.40","696.20","700.20","688.60","16.67M","-0.20%"
"22/05/2024","692.80","697.70","703.57","692.00","19.97M","-0.70%"
"21/05/2024","697.70","693.80","699.80","688.80","15.64M","0.30%"
"20/05/2024","695.60","696.10","697.78","694.80","10.99M","-0.20%"
"17/05/2024","697.00","694.00","699.60","688.40","27.90M","0.07%"
"16/05/2024","696.50","707.00","714.50","689.50","35.47M","-0.74%"
"15/05/2024","701.70","709.00","710.60","701.10","15.97M","-0.67%"
"14/05/2024","706.40","700.80","708.00","700.80","80.12M","1.03%"
"13/05/2024","699.20","692.10","699.20","691.45","18.08M","0.46%"
"10/05/2024","696.00","693.60","704.32","686.70","21.43M","0.74%"
"09/05/2024","690.90","700.00","725.20","690.90","24.83M","-4.15%"
"08/05/2024","720.80","722.30","724.40","718.30","28.18M","1.15%"
"07/05/2024","712.60","708.90","717.70","708.90","55.82M","1.01%"
"03/05/2024","705.50","706.50","714.40","705.00","16.83M","0.07%"
"02/05/2024","705.00","705.40","712.30","693.30","24.83M","1.08%"
"01/05/2024","697.50","693.20","703.40","693.20","11.39M","0.27%"
"30/04/2024","695.60","678.20","702.50","659.60","43.43M","4.12%"
"29/04/2024","668.10","666.40","671.22","666.40","20.18M","0.68%"
"26/04/2024","663.60","663.10","667.10","657.90","15.52M","0.26%"
"25/04/2024","661.90","662.50","663.90","657.70","24.62M","-0.26%"
"24/04/2024","663.60","666.50","671.80","662.30","19.94M","-0.61%"
"23/04/2024","667.70","665.80","669.60","663.80","28.45M","0.18%"
"22/04/2024","666.50","655.70","669.80","653.40","22.18M","3.14%"
"19/04/2024","646.20","635.50","647.60","633.80","40.81M","0.25%"
"18/04/2024","644.60","639.30","645.50","632.20","44.84M","1.34%"
"17/04/2024","636.10","633.00","641.80","631.30","15.57M","0.70%"
"16/04/2024","631.70","642.50","642.20","630.50","24.92M","-2.98%"
"15/04/2024","651.10","653.00","659.80","649.40","22.77M","-0.35%"
"12/04/2024","653.40","647.50","660.10","647.60","23.90M","1.04%"
"11/04/2024","646.70","659.60","662.90","644.40","33.46M","-2.49%"
