"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","54.80","56.12","56.12","54.22","210.79M","-1.76%"
"23/05/2024","55.78","56.42","56.74","55.56","345.19M","-1.06%"
"22/05/2024","56.38","55.94","57.39","55.94","243.34M","0.36%"
"21/05/2024","56.18","55.98","56.30","55.66","218.82M","-0.04%"
"20/05/2024","56.20","56.00","56.44","55.00","188.24M","1.22%"
"17/05/2024","55.52","55.00","55.56","54.94","117.40M","0.91%"
"16/05/2024","55.02","54.52","55.22","54.18","128.48M","0.95%"
"15/05/2024","54.50","54.76","54.81","54.24","267.07M","-0.07%"
"14/05/2024","54.54","54.18","54.62","54.16","141.61M","0.44%"
"13/05/2024","54.30","54.18","54.54","54.10","274.07M","0.00%"
"10/05/2024","54.30","54.28","54.48","53.98","87.84M","0.67%"
"09/05/2024","53.94","54.16","54.44","53.70","236.47M","0.00%"
"08/05/2024","53.94","53.84","54.38","53.56","357.88M","0.41%"
"07/05/2024","53.72","52.98","54.20","52.92","294.96M","2.95%"
"03/05/2024","52.18","52.38","52.92","52.18","86.28M","0.23%"
"02/05/2024","52.06","52.00","52.74","52.00","106.05M","-0.27%"
"01/05/2024","52.20","52.10","53.12","51.90","90.40M","0.58%"
"30/04/2024","51.90","51.88","52.36","51.88","126.50M","0.04%"
"29/04/2024","51.88","52.68","52.84","51.72","174.65M","-0.80%"
"26/04/2024","52.30","51.12","52.60","51.08","196.22M","2.15%"
"25/04/2024","51.20","51.42","52.16","50.92","114.47M","-1.12%"
"24/04/2024","51.78","50.26","53.20","49.63","283.88M","0.86%"
"23/04/2024","51.34","51.38","51.69","50.88","190.29M","0.39%"
"22/04/2024","51.14","51.42","51.91","51.10","138.33M","0.43%"
"19/04/2024","50.92","50.70","51.08","50.20","115.16M","-0.16%"
"18/04/2024","51.00","50.72","51.30","50.62","95.48M","1.15%"
"17/04/2024","50.42","49.67","50.84","49.40","134.96M","1.45%"
"16/04/2024","49.70","50.02","50.28","49.42","170.77M","-2.85%"
"15/04/2024","51.16","50.96","51.75","50.92","160.60M","0.35%"
"12/04/2024","50.98","51.04","51.72","50.98","144.95M","0.63%"
"11/04/2024","50.66","51.26","51.62","50.32","241.08M","-4.63%"
"10/04/2024","53.12","53.12","53.70","52.46","140.48M","0.49%"
"09/04/2024","52.86","53.62","53.84","52.70","116.85M","-1.60%"
"08/04/2024","53.72","53.30","54.28","53.28","141.95M","0.75%"
"05/04/2024","53.32","53.40","53.74","52.90","104.06M","-1.19%"
"04/04/2024","53.96","52.82","54.12","52.62","177.55M","3.02%"
"03/04/2024","52.38","51.56","52.48","51.66","123.76M","0.81%"
"02/04/2024","51.96","51.32","52.40","51.42","107.32M","0.39%"
"28/03/2024","51.76","52.53","52.54","51.35","157.24M","0.17%"
