"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","889.40","904.60","916.40","889.40","25.45M","-3.71%"
"23/05/2024","923.71","974.26","974.26","909.19","58.57M","-10.86%"
"22/05/2024","1,036.30","1,029.87","1,042.73","1,022.51","20.83M","0.00%"
"21/05/2024","1,036.30","1,031.25","1,045.49","1,022.05","7.67M","-0.27%"
"20/05/2024","1,039.06","1,040.90","1,049.17","1,035.84","4.32M","-0.48%"
"17/05/2024","1,044.11","1,050.09","1,052.85","1,040.90","31.27M","-0.57%"
"16/05/2024","1,050.09","1,043.65","1,051.93","1,036.76","7.44M","0.53%"
"15/05/2024","1,044.57","1,032.62","1,048.25","1,030.79","13.16M","1.52%"
"14/05/2024","1,028.95","1,022.05","1,036.76","1,018.84","7.50M","0.49%"
"13/05/2024","1,023.89","1,020.22","1,038.14","1,020.22","5.60M","-0.27%"
"10/05/2024","1,026.65","1,022.97","1,036.76","1,016.08","5.54M","0.40%"
"09/05/2024","1,022.51","1,014.24","1,023.43","1,005.97","5.08M","1.00%"
"08/05/2024","1,012.40","1,011.03","1,014.70","1,006.89","8.74M","0.55%"
"07/05/2024","1,006.89","1,004.59","1,009.65","996.32","7.11M","2.00%"
"03/05/2024","987.13","976.56","988.25","967.37","6.21M","1.42%"
"02/05/2024","973.34","971.04","983.91","970.12","6.55M","0.38%"
"01/05/2024","969.67","966.91","972.88","963.23","3.21M","0.67%"
"30/04/2024","963.23","972.42","975.64","957.72","8.58M","-0.57%"
"29/04/2024","968.75","963.23","975.18","961.85","5.95M","0.53%"
"26/04/2024","963.69","971.96","971.96","962.31","5.70M","0.14%"
"25/04/2024","962.31","969.67","976.56","956.80","5.75M","-0.81%"
"24/04/2024","970.12","967.83","980.24","965.07","5.96M","-0.38%"
"23/04/2024","973.80","969.21","977.48","964.51","10.33M","1.29%"
"22/04/2024","961.39","963.69","970.12","949.90","22.49M","0.58%"
"19/04/2024","955.88","950.82","959.10","944.85","9.88M","0.97%"
"18/04/2024","946.69","949.90","959.56","925.09","26.60M","1.68%"
"17/04/2024","931.06","922.79","934.74","917.09","8.40M","0.65%"
"16/04/2024","925.09","948.07","948.07","920.03","7.20M","-1.80%"
"15/04/2024","942.09","945.77","959.56","941.50","7.88M","-1.20%"
