"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","765.80","754.20","770.80","749.80","4.32M","-0.39%"
"23/05/2024","768.80","783.80","789.20","766.00","5.87M","-1.76%"
"22/05/2024","782.60","790.20","802.40","782.40","8.43M","-1.88%"
"21/05/2024","797.60","793.00","801.47","784.50","6.68M","-0.94%"
"20/05/2024","805.20","826.00","829.20","805.20","5.12M","-1.71%"
"17/05/2024","819.20","825.60","839.00","812.80","6.04M","-0.99%"
"16/05/2024","827.40","817.00","830.00","811.70","8.01M","2.94%"
"15/05/2024","803.80","793.20","807.00","790.60","14.47M","1.46%"
"14/05/2024","792.20","787.40","795.40","782.40","3.73M","0.23%"
"13/05/2024","790.40","802.00","803.40","790.40","3.63M","-1.42%"
"10/05/2024","801.80","791.80","804.00","783.00","4.85M","1.78%"
"09/05/2024","787.80","776.60","796.60","773.00","19.51M","1.39%"
"08/05/2024","777.00","757.20","778.00","754.60","15.20M","2.32%"
"07/05/2024","759.40","765.40","771.20","755.20","5.88M","0.42%"
"03/05/2024","756.20","736.00","757.40","732.80","8.79M","3.79%"
"02/05/2024","728.60","711.40","728.60","711.40","31.74M","3.35%"
"01/05/2024","705.00","700.60","719.20","699.64","3.96M","0.57%"
"30/04/2024","701.00","705.00","713.80","699.60","14.02M","-5.45%"
"29/04/2024","741.40","745.00","748.80","733.20","22.98M","2.43%"
"26/04/2024","723.80","725.00","732.50","720.60","5.64M","1.37%"
"25/04/2024","714.00","734.80","739.00","712.60","23.98M","-2.88%"
"24/04/2024","735.20","750.40","757.74","735.20","21.63M","-1.00%"
"23/04/2024","742.60","740.00","747.59","726.00","4.83M","0.98%"
"22/04/2024","735.40","740.00","748.00","732.20","5.48M","1.86%"
"19/04/2024","722.00","715.60","725.60","714.00","26.68M","-0.11%"
"18/04/2024","722.80","704.00","723.00","698.20","25.34M","4.42%"
"17/04/2024","692.20","689.80","706.20","683.20","8.09M","0.70%"
"16/04/2024","687.40","692.00","714.00","684.80","7.34M","-3.13%"
"15/04/2024","709.60","707.80","719.00","708.60","5.97M","0.45%"
"12/04/2024","706.40","706.80","717.40","700.00","8.67M","-1.42%"
"11/04/2024","716.60","710.80","720.40","708.40","7.68M","0.65%"
"10/04/2024","712.00","727.00","731.82","707.80","27.35M","-1.17%"
"09/04/2024","720.40","720.80","732.20","718.80","7.96M","0.06%"
"08/04/2024","720.00","711.00","722.77","711.00","25.22M","0.33%"
"05/04/2024","717.60","718.80","732.40","712.80","11.38M","-1.43%"
"04/04/2024","728.00","724.60","735.64","720.80","14.95M","1.05%"
"03/04/2024","720.40","734.40","738.00","715.71","36.57M","-2.65%"
"02/04/2024","740.00","739.60","755.00","737.00","8.28M","-0.40%"
"28/03/2024","743.00","752.00","760.40","739.60","7.61M","-1.69%"
"27/03/2024","755.80","751.80","764.00","748.00","37.95M","-0.71%"
"26/03/2024","761.20","772.00","773.60","757.00","35.33M","-1.70%"
"25/03/2024","774.40","771.40","778.80","768.30","6.44M","-0.51%"
"22/03/2024","778.40","750.40","779.96","748.00","12.78M","2.56%"
"21/03/2024","759.00","764.20","769.20","751.14","23.47M","1.85%"
"20/03/2024","745.20","802.00","810.20","718.80","23.80M","-4.53%"
"19/03/2024","780.60","780.60","793.00","773.20","14.18M","-0.96%"
"18/03/2024","788.20","794.20","798.63","783.20","7.43M","-0.98%"
"15/03/2024","796.00","803.60","808.80","793.00","14.41M","-0.35%"
"14/03/2024","798.80","812.40","814.80","783.80","12.58M","-1.07%"
"13/03/2024","807.40","808.20","817.40","804.50","6.89M","-0.62%"
"12/03/2024","812.40","802.60","823.20","800.80","9.59M","3.07%"
"11/03/2024","788.20","769.20","790.00","767.59","8.24M","1.18%"
"08/03/2024","779.00","780.00","791.60","775.20","3.38M","-0.28%"
"07/03/2024","781.20","749.40","784.60","749.40","7.65M","2.90%"
"06/03/2024","759.20","756.40","775.00","753.40","11.42M","0.26%"
"05/03/2024","757.20","766.79","777.60","753.40","6.65M","-2.02%"
"04/03/2024","772.80","779.20","789.40","763.40","4.84M","-1.23%"
"01/03/2024","782.40","789.01","792.80","772.20","9.69M","0.62%"
"29/02/2024","777.60","791.80","796.80","777.54","13.49M","-1.67%"
"28/02/2024","790.80","805.80","813.00","782.80","8.41M","-2.13%"
"27/02/2024","808.00","815.00","819.60","805.82","12.94M","-0.81%"
"26/02/2024","814.60","814.00","824.60","808.00","29.05M","-0.61%"
"23/02/2024","819.60","824.80","826.80","809.40","8.89M","-0.36%"
"22/02/2024","822.60","816.80","835.30","816.80","7.55M","0.10%"
"21/02/2024","821.80","816.00","834.40","816.00","6.83M","0.83%"
"20/02/2024","815.00","816.80","821.80","810.80","5.92M","-0.75%"
"19/02/2024","821.20","822.60","839.60","818.20","5.24M","-1.58%"
"16/02/2024","834.40","802.60","844.10","802.60","5.30M","3.32%"
"15/02/2024","807.60","798.00","811.20","797.40","3.92M","2.18%"
"14/02/2024","790.40","796.60","797.00","785.80","4.75M","-0.05%"
"13/02/2024","790.80","810.20","817.40","787.00","6.08M","-2.66%"
"12/02/2024","812.40","803.80","814.00","793.20","8.62M","1.80%"
"09/02/2024","798.00","813.80","818.20","797.84","3.64M","-2.47%"
"08/02/2024","818.20","834.40","838.40","818.04","5.13M","-1.45%"
"07/02/2024","830.20","847.40","854.40","828.60","5.57M","-2.24%"
"06/02/2024","849.20","828.40","849.20","828.00","8.04M","3.84%"
"05/02/2024","817.80","807.60","823.60","807.60","3.48M","0.44%"
"02/02/2024","814.20","812.00","821.80","801.20","7.61M","0.99%"
"01/02/2024","806.20","806.00","825.69","803.00","18.20M","-1.49%"
"31/01/2024","818.40","833.00","839.00","818.39","6.78M","-1.82%"
"30/01/2024","833.60","834.60","841.60","824.80","6.94M","0.26%"
"29/01/2024","831.40","854.00","863.40","831.23","3.93M","-3.12%"
"26/01/2024","858.20","840.00","859.60","829.00","7.16M","2.88%"
"25/01/2024","834.20","831.20","837.60","827.40","5.08M","0.07%"
"24/01/2024","833.60","821.80","839.60","820.40","11.77M","2.16%"
"23/01/2024","816.00","809.60","818.40","806.80","20.30M","2.46%"
"22/01/2024","796.40","794.00","805.80","783.20","4.80M","1.07%"
"19/01/2024","788.00","782.20","798.20","782.20","13.16M","0.13%"
"18/01/2024","787.00","771.00","790.00","770.00","12.60M","1.76%"
"17/01/2024","773.40","773.60","786.40","767.00","7.22M","-3.95%"
"16/01/2024","805.20","808.80","821.00","799.80","6.66M","-1.30%"
"15/01/2024","815.80","822.40","828.20","807.70","6.30M","-0.90%"
