"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","4,412.0","4,415.0","4,439.0","4,388.0","1.63M","-0.65%"
"23/05/2024","4,441.0","4,483.0","4,503.0","4,420.0","1.36M","-0.52%"
"22/05/2024","4,464.0","4,500.0","4,493.1","4,426.0","2.02M","-1.63%"
"21/05/2024","4,538.0","4,546.0","4,593.6","4,520.0","1.81M","0.04%"
"20/05/2024","4,536.0","4,579.0","4,593.0","4,536.0","767.65K","-1.24%"
"17/05/2024","4,593.0","4,609.0","4,619.0","4,563.0","4.48M","-0.54%"
"16/05/2024","4,618.0","4,589.0","4,657.0","4,589.0","1.10M","0.48%"
"15/05/2024","4,596.0","4,595.0","4,619.0","4,558.0","10.58M","-0.09%"
"14/05/2024","4,600.0","4,600.0","4,646.0","4,600.0","3.26M","0.02%"
"13/05/2024","4,599.0","4,585.0","4,625.0","4,576.4","1.07M","0.04%"
"10/05/2024","4,597.0","4,597.0","4,627.0","4,573.2","1.87M","0.02%"
"09/05/2024","4,596.0","4,547.0","4,626.0","4,547.0","4.44M","1.08%"
"08/05/2024","4,547.0","4,561.0","4,569.0","4,533.2","1.75M","-0.07%"
"07/05/2024","4,550.0","4,514.0","4,589.0","4,514.0","2.22M","1.65%"
"03/05/2024","4,476.0","4,472.0","4,527.0","4,468.0","3.32M","0.16%"
"02/05/2024","4,469.0","4,463.0","4,517.0","4,450.0","2.59M","-0.16%"
"01/05/2024","4,476.0","4,517.0","4,547.0","4,468.0","1.26M","0.18%"
"30/04/2024","4,468.0","4,499.0","4,516.0","4,451.0","2.17M","0.25%"
"29/04/2024","4,457.0","4,439.0","4,508.0","4,437.0","1.53M","0.77%"
"26/04/2024","4,423.0","4,380.0","4,442.0","4,380.0","1.29M","1.54%"
"25/04/2024","4,356.0","4,400.0","4,411.0","4,319.8","2.61M","-0.41%"
"24/04/2024","4,374.0","4,410.0","4,506.0","4,374.0","3.02M","2.92%"
"23/04/2024","4,250.0","4,286.0","4,302.0","4,244.0","1.56M","-0.38%"
"22/04/2024","4,266.0","4,218.0","4,266.0","4,206.0","1.46M","2.38%"
"19/04/2024","4,167.0","4,140.0","4,167.0","4,107.0","6.62M","0.68%"
"18/04/2024","4,139.0","4,131.0","4,175.0","4,085.0","2.95M","0.71%"
"17/04/2024","4,110.0","4,130.0","4,173.0","4,110.0","2.12M","-0.72%"
"16/04/2024","4,140.0","4,176.0","4,199.0","4,119.0","9.21M","-1.00%"
"15/04/2024","4,182.0","4,198.0","4,207.0","4,162.0","1.95M","-0.43%"
"12/04/2024","4,200.0","4,214.0","4,236.0","4,189.0","1.68M","-0.14%"
"11/04/2024","4,206.0","4,200.0","4,250.0","4,191.7","3.84M","-2.30%"
"10/04/2024","4,305.0","4,265.0","4,319.0","4,260.0","1.99M","1.53%"
"09/04/2024","4,240.0","4,214.0","4,293.0","4,203.3","1.72M","-0.47%"
"08/04/2024","4,260.0","4,253.0","4,284.0","4,238.0","3.16M","-0.35%"
"05/04/2024","4,275.0","4,325.0","4,325.0","4,259.7","4.28M","-1.29%"
"04/04/2024","4,331.0","4,242.0","4,331.0","4,200.1","3.79M","2.63%"
"03/04/2024","4,220.0","4,274.0","4,274.0","4,203.0","4.06M","-1.29%"
"02/04/2024","4,275.0","4,464.0","4,512.0","4,275.0","2.19M","-5.25%"
"28/03/2024","4,512.0","4,458.0","4,542.0","4,458.0","1.97M","1.67%"
"27/03/2024","4,438.0","4,360.0","4,453.0","4,340.0","2.86M","1.98%"
"26/03/2024","4,352.0","4,265.0","4,391.0","4,240.0","4.56M","1.30%"
"25/03/2024","4,296.0","4,375.0","4,400.9","4,277.0","2.70M","-2.50%"
"22/03/2024","4,406.0","4,296.0","4,456.0","4,289.8","2.33M","2.47%"
"21/03/2024","4,300.0","4,330.0","4,342.0","4,240.0","3.77M","-0.76%"
"20/03/2024","4,333.0","4,302.0","4,391.0","4,296.0","5.18M","-0.80%"
"19/03/2024","4,368.0","4,470.0","4,485.0","4,329.0","3.79M","-4.52%"
"18/03/2024","4,575.0","4,345.5","4,752.0","4,314.3","7.41M","1.98%"
"15/03/2024","4,486.0","5,226.0","5,284.0","4,190.0","15.34M","-14.58%"
"14/03/2024","5,252.0","5,278.0","5,310.0","5,234.0","1.87M","-0.27%"
"13/03/2024","5,266.0","5,210.0","5,270.0","5,172.0","3.23M","1.19%"
"12/03/2024","5,204.0","5,178.0","5,232.8","5,170.0","2.37M","0.66%"
"11/03/2024","5,170.0","5,130.0","5,190.0","5,112.0","2.03M","0.12%"
"08/03/2024","5,164.0","5,112.0","5,182.0","5,084.0","2.10M","1.57%"
"07/03/2024","5,084.0","5,004.0","5,086.0","4,965.0","3.90M","1.40%"
