"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","4,296.0","4,272.0","4,338.0","4,243.0","4.17M","-0.37%"
"23/05/2024","4,312.0","4,249.0","4,357.0","4,249.0","6.38M","0.87%"
"22/05/2024","4,275.0","4,253.0","4,277.0","4,248.0","6.06M","-0.07%"
"21/05/2024","4,278.0","4,261.0","4,311.0","4,235.0","3.44M","-0.16%"
"20/05/2024","4,285.0","4,319.0","4,326.0","4,284.0","2.87M","-0.72%"
"17/05/2024","4,316.0","4,291.0","4,325.0","4,290.0","3.64M","0.84%"
"16/05/2024","4,280.0","4,264.0","4,280.0","4,232.0","2.62M","-0.47%"
"15/05/2024","4,300.0","4,293.0","4,319.0","4,267.0","2.31M","0.26%"
"14/05/2024","4,289.0","4,282.0","4,340.0","4,282.0","6.65M","-0.58%"
"13/05/2024","4,314.0","4,282.0","4,333.6","4,281.9","3.45M","0.61%"
"10/05/2024","4,288.0","4,264.0","4,294.0","4,259.0","3.13M","0.52%"
"09/05/2024","4,266.0","4,231.0","4,266.0","4,202.0","4.49M","0.87%"
"08/05/2024","4,229.0","4,225.0","4,260.0","4,224.8","2.51M","0.40%"
"07/05/2024","4,212.0","4,174.0","4,222.0","4,176.0","3.96M","0.57%"
"03/05/2024","4,188.0","4,164.0","4,188.0","4,162.4","2.31M","0.19%"
"02/05/2024","4,180.0","4,148.0","4,182.0","4,120.0","3.97M","0.97%"
"01/05/2024","4,140.0","4,142.0","4,167.0","4,114.0","4.19M","0.00%"
"30/04/2024","4,140.0","4,111.0","4,151.0","4,087.0","3.67M","0.85%"
"29/04/2024","4,105.0","4,119.0","4,144.0","4,105.0","3.19M","-0.68%"
"26/04/2024","4,133.0","4,100.0","4,147.0","4,057.0","4.57M","1.25%"
"25/04/2024","4,082.0","4,047.0","4,097.5","4,002.0","8.47M","5.67%"
"24/04/2024","3,863.0","3,866.0","3,887.0","3,837.0","3.44M","0.05%"
"23/04/2024","3,861.0","3,908.0","3,933.0","3,845.0","3.51M","-0.62%"
"22/04/2024","3,885.0","3,854.0","3,888.0","3,788.0","2.62M","1.94%"
"19/04/2024","3,811.0","3,763.0","3,827.0","3,208.0","4.42M","1.09%"
"18/04/2024","3,770.0","3,754.0","3,796.0","3,747.6","5.66M","0.86%"
