"Date","Price","Open","High","Low","Vol.","Change %"
"24/05/2024","73.500","73.880","74.480","73.500","100.43M","-0.92%"
"23/05/2024","74.180","75.180","75.900","74.180","68.46M","-1.51%"
"22/05/2024","75.320","75.000","75.779","74.460","149.59M","0.11%"
"21/05/2024","75.240","76.720","77.640","74.920","89.14M","-2.49%"
"20/05/2024","77.160","77.040","77.881","76.840","44.51M","-0.03%"
"17/05/2024","77.180","77.760","78.780","77.000","120.48M","-0.44%"
"16/05/2024","77.520","76.280","77.990","75.640","95.41M","1.87%"
"15/05/2024","76.100","73.020","77.022","73.080","162.55M","3.85%"
"14/05/2024","73.280","70.720","73.760","69.560","187.54M","4.72%"
"13/05/2024","69.980","69.540","71.144","69.559","90.44M","0.84%"
"10/05/2024","69.400","68.480","69.950","68.608","62.67M","1.94%"
"09/05/2024","68.080","67.820","68.940","67.338","49.81M","0.80%"
"08/05/2024","67.540","68.020","68.120","67.020","65.31M","-0.56%"
"07/05/2024","67.920","68.000","69.000","67.860","68.17M","-0.76%"
"03/05/2024","68.440","67.960","68.760","67.800","88.26M","0.91%"
"02/05/2024","67.820","67.480","68.520","67.060","38.86M","0.50%"
"01/05/2024","67.480","69.320","69.190","67.400","26.96M","-0.27%"
"30/04/2024","67.660","69.840","69.846","67.540","83.73M","-3.34%"
"29/04/2024","70.000","69.100","70.200","68.781","44.07M","1.33%"
"26/04/2024","69.080","69.300","69.980","68.580","55.11M","0.12%"
"25/04/2024","69.000","69.340","70.060","68.360","54.88M","-0.49%"
"24/04/2024","69.340","69.680","70.060","68.674","84.41M","-0.40%"
"23/04/2024","69.620","69.940","70.640","69.620","150.82M","0.00%"
"22/04/2024","69.620","67.780","69.940","66.580","69.12M","3.91%"
"19/04/2024","67.000","66.500","67.100","65.780","58.54M","0.93%"
"18/04/2024","66.380","66.660","67.080","65.980","73.12M","-0.15%"
"17/04/2024","66.480","65.760","66.960","65.537","36.18M","0.64%"
"16/04/2024","66.060","66.560","66.820","65.940","54.54M","-1.61%"
"15/04/2024","67.140","67.200","67.400","66.280","60.90M","-0.12%"
"12/04/2024","67.220","67.200","67.946","66.820","51.63M","0.75%"
"11/04/2024","66.720","67.200","67.380","66.340","58.03M","-0.66%"
"10/04/2024","67.160","68.560","68.940","66.956","55.31M","-1.26%"
"09/04/2024","68.020","67.760","68.820","67.320","51.64M","-0.70%"
"08/04/2024","68.500","68.420","68.651","67.820","42.63M","-0.12%"
"05/04/2024","68.580","69.320","70.540","68.440","58.71M","-2.17%"
"04/04/2024","70.100","71.180","71.780","69.900","177.88M","-1.54%"
"03/04/2024","71.200","70.040","71.420","70.040","75.79M","1.28%"
"02/04/2024","70.300","70.280","71.420","70.108","69.06M","-0.23%"
"28/03/2024","70.460","69.960","70.720","69.700","65.30M","1.50%"
"27/03/2024","69.420","68.490","69.910","68.070","72.31M","1.08%"
"26/03/2024","68.680","68.070","68.680","67.450","123.84M","0.44%"
"25/03/2024","68.380","68.420","68.821","67.270","66.42M","-0.07%"
"22/03/2024","68.430","67.340","69.204","67.270","129.16M","1.38%"
"21/03/2024","67.500","67.140","68.710","67.265","159.54M","0.33%"
"20/03/2024","67.280","66.600","67.770","65.920","84.75M","1.17%"
"19/03/2024","66.500","67.460","67.850","66.230","145.36M","-1.23%"
"18/03/2024","67.330","69.900","69.900","67.317","211.39M","-3.61%"
"15/03/2024","69.850","67.560","70.840","66.890","691.20M","5.69%"
"14/03/2024","66.090","66.350","67.474","65.820","124.45M","-0.65%"
"13/03/2024","66.520","69.910","69.910","66.510","155.26M","-4.01%"
"12/03/2024","69.300","70.570","71.815","69.293","132.14M","-1.21%"
"11/03/2024","70.150","70.750","71.370","70.143","116.01M","-1.11%"
"08/03/2024","70.940","70.000","71.350","69.150","79.68M","1.66%"
"07/03/2024","69.780","69.330","70.900","69.090","144.07M","0.23%"
"06/03/2024","69.620","70.440","71.400","69.500","139.28M","-0.94%"
"05/03/2024","70.280","69.450","70.960","69.000","75.55M","1.14%"
"04/03/2024","69.490","70.700","71.000","69.220","126.88M","-1.38%"
"01/03/2024","70.460","69.400","71.340","68.710","206.15M","1.94%"
"29/02/2024","69.120","68.070","71.250","67.340","297.35M","1.22%"
"28/02/2024","68.290","70.230","71.350","67.780","141.14M","-0.16%"
"27/02/2024","68.400","66.060","68.630","65.690","116.74M","3.51%"
"26/02/2024","66.080","66.150","66.690","65.400","144.64M","-0.26%"
"23/02/2024","66.250","65.720","67.370","63.810","179.64M","0.78%"
"22/02/2024","65.740","66.130","66.470","65.570","64.14M","-0.33%"
"21/02/2024","65.960","66.600","67.470","65.890","89.98M","-1.65%"
"20/02/2024","67.070","67.300","67.710","66.310","55.60M","-0.04%"
"19/02/2024","67.100","66.580","67.480","65.240","70.97M","2.24%"
"16/02/2024","65.630","66.580","66.960","65.624","90.57M","-1.41%"
"15/02/2024","66.570","64.990","67.600","64.490","114.54M","1.84%"
"14/02/2024","65.370","65.670","68.720","63.770","240.27M","1.90%"
"13/02/2024","64.150","64.340","64.930","63.110","151.98M","-0.16%"
"12/02/2024","64.250","62.590","64.253","62.590","110.04M","2.03%"
"09/02/2024","62.970","63.530","63.910","62.960","171.85M","-0.85%"
"08/02/2024","63.510","63.640","64.730","63.310","77.18M","-0.14%"
"07/02/2024","63.600","65.260","66.620","63.599","116.67M","-3.97%"
"06/02/2024","66.230","66.210","66.880","65.820","81.14M","-0.15%"
"05/02/2024","66.330","68.620","69.010","66.327","163.58M","-3.31%"
"02/02/2024","68.600","68.250","69.120","66.870","97.65M","1.98%"
"01/02/2024","67.270","67.640","71.372","66.770","53.18M","-0.07%"
"31/01/2024","67.320","67.430","69.160","65.890","112.43M","-2.08%"
"30/01/2024","68.750","70.360","70.920","68.730","50.88M","-0.79%"
"29/01/2024","69.300","70.880","70.990","69.170","47.49M","-2.06%"
"26/01/2024","70.760","69.320","71.160","67.720","84.41M","3.88%"
"25/01/2024","68.120","68.500","68.860","68.000","49.42M","-1.15%"
"24/01/2024","68.910","70.180","70.180","68.720","63.08M","-0.33%"
"23/01/2024","69.140","67.730","69.620","67.730","64.56M","1.48%"
"22/01/2024","68.130","67.570","68.700","67.560","68.73M","0.72%"
"19/01/2024","67.640","66.090","67.710","65.520","150.32M","2.62%"
"18/01/2024","65.910","66.460","67.580","65.907","85.01M","-1.42%"
"17/01/2024","66.860","66.430","67.800","66.330","65.27M","-0.80%"
"16/01/2024","67.400","67.980","67.980","66.620","131.33M","0.36%"
"15/01/2024","67.160","67.260","67.630","66.710","34.82M","-0.47%"
"12/01/2024","67.480","67.180","67.800","66.700","64.28M","0.55%"
"11/01/2024","67.110","68.580","70.350","67.109","111.64M","-2.20%"
"10/01/2024","68.620","69.870","70.190","68.611","42.80M","-1.99%"
"09/01/2024","70.010","70.000","70.360","69.619","304.84K","0.04%"
"08/01/2024","69.980","70.350","70.471","69.170","173.46M","-0.60%"
"05/01/2024","70.400","70.200","70.700","69.880","78.33M","-0.07%"
"04/01/2024","70.450","70.330","70.810","69.000","37.44M","1.35%"
"03/01/2024","69.510","70.000","71.017","69.380","90.16M","-0.36%"
"02/01/2024","69.760","68.620","70.220","68.470","62.45M","1.75%"
"29/12/2023","68.560","68.170","68.830","68.150","14.62M","0.37%"
"28/12/2023","68.310","68.650","69.050","68.220","27.58M","-0.36%"
"27/12/2023","68.560","68.120","69.000","68.020","54.22M","-0.87%"
