"Date","Price","Open","High","Low","Change %"
"24/05/2024","5.328","5.272","5.332","5.323","-0.11%"
"23/05/2024","5.334","5.259","5.338","5.312","0.32%"
"22/05/2024","5.317","5.259","5.329","5.312","1.26%"
"21/05/2024","5.251","5.196","5.251","5.247","0.06%"
"20/05/2024","5.248","5.220","5.279","5.248","-0.25%"
"17/05/2024","5.261","5.203","5.261","5.252","0.04%"
"16/05/2024","5.259","5.208","5.267","5.250","-0.27%"
"15/05/2024","5.273","5.225","5.281","5.268","-0.25%"
"14/05/2024","5.286","5.229","5.286","5.277","-0.17%"
"13/05/2024","5.295","5.238","5.307","5.279","0.13%"
"10/05/2024","5.288","5.229","5.288","5.279","-0.04%"
"09/05/2024","5.290","5.242","5.294","5.281","0.25%"
"08/05/2024","5.277","5.233","5.295","5.277","-0.32%"
"07/05/2024","5.294","5.242","5.308","5.294","-0.30%"
"03/05/2024","5.310","5.259","5.313","5.283","0.38%"
"02/05/2024","5.290","5.242","5.294","5.290","-0.25%"
"01/05/2024","5.303","5.263","5.325","5.299","-0.24%"
"30/04/2024","5.316","5.258","5.325","5.312","-0.24%"
"29/04/2024","5.329","5.273","5.335","5.329","-0.06%"
"26/04/2024","5.332","5.280","5.341","5.332","0.06%"
"25/04/2024","5.329","5.246","5.329","5.298","0.40%"
"24/04/2024","5.308","5.275","5.329","5.303","-0.23%"
"23/04/2024","5.320","5.254","5.320","5.290","0.32%"
"22/04/2024","5.303","5.260","5.316","5.303","-0.13%"
"19/04/2024","5.310","5.272","5.332","5.301","0.13%"
"18/04/2024","5.303","5.246","5.325","5.298","-0.34%"
"17/04/2024","5.321","5.288","5.342","5.290","-0.15%"
"16/04/2024","5.329","5.258","5.329","5.307","0.57%"
"15/04/2024","5.299","5.255","5.316","5.299","-0.04%"
"12/04/2024","5.301","5.250","5.310","5.296","-0.21%"
"11/04/2024","5.312","5.289","5.347","5.307","-0.32%"
"10/04/2024","5.329","5.254","5.329","5.303","0.32%"
"09/04/2024","5.312","5.254","5.312","5.307","-7.97%"
"08/04/2024","5.772","5.278","5.772","5.330","8.25%"
"05/04/2024","5.332","5.255","5.337","5.310","0.38%"
"04/04/2024","5.312","5.340","5.396","5.307","-1.63%"
"03/04/2024","5.400","5.351","5.408","5.400","-0.13%"
"02/04/2024","5.407","5.278","5.407","5.331","1.25%"
"01/04/2024","5.340","5.293","5.340","5.340","0.21%"
"28/03/2024","5.329","5.293","5.347","5.329","-0.17%"
"27/03/2024","5.338","5.284","5.338","5.338","0.09%"
"26/03/2024","5.333","5.271","5.333","5.325","0.08%"
"25/03/2024","5.329","5.260","5.329","5.316","0.78%"
"22/03/2024","5.288","5.233","5.288","5.279","1.05%"
"21/03/2024","5.233","5.267","5.267","5.233","-0.65%"
"20/03/2024","5.267","5.271","5.271","5.267","-0.30%"
"19/03/2024","5.283","5.250","5.283","5.250","0.53%"
"18/03/2024","5.255","5.255","5.255","5.255","-0.08%"
"15/03/2024","5.259","5.259","5.259","5.259","0.10%"
"14/03/2024","5.254","5.254","5.254","5.254","-0.10%"
"13/03/2024","5.259","5.246","5.259","5.246","0.10%"
"12/03/2024","5.254","5.254","5.254","5.254","-0.02%"
"11/03/2024","5.255","5.269","5.269","5.255","-0.15%"
"08/03/2024","5.263","5.268","5.268","5.263","-0.32%"
"07/03/2024","5.280","5.263","5.280","5.263","0.40%"
"06/03/2024","5.259","5.267","5.267","5.259","-0.23%"
"05/03/2024","5.271","5.254","5.271","5.254","0.21%"
"04/03/2024","5.260","5.260","5.260","5.260","0.02%"
"01/03/2024","5.259","5.259","5.259","5.259","0.00%"
"29/02/2024","5.259","5.259","5.259","5.259","-0.08%"
"28/02/2024","5.263","5.263","5.263","5.263","0.25%"
"27/02/2024","5.250","5.258","5.258","5.250","-0.10%"
"26/02/2024","5.255","5.251","5.255","5.251","0.17%"
"23/02/2024","5.246","5.250","5.250","5.246","-0.08%"
"22/02/2024","5.250","5.250","5.250","5.250","0.15%"
"21/02/2024","5.242","5.242","5.242","5.242","-0.30%"
"20/02/2024","5.258","5.258","5.258","5.258","0.13%"
"19/02/2024","5.251","5.251","5.251","5.251","0.02%"
"16/02/2024","5.250","5.246","5.250","5.246","0.08%"
"15/02/2024","5.246","5.246","5.246","5.246","0.33%"
"14/02/2024","5.229","5.229","5.229","5.229","-0.17%"
"13/02/2024","5.238","5.234","5.238","5.234","0.10%"
"12/02/2024","5.233","5.246","5.246","5.233","-0.40%"
"09/02/2024","5.254","5.254","5.254","5.254","0.00%"
"08/02/2024","5.254","5.216","5.254","5.216","0.63%"
"07/02/2024","5.221","5.221","5.221","5.221","0.00%"
"06/02/2024","5.221","5.221","5.221","5.221","0.44%"
"05/02/2024","5.198","5.211","5.211","5.198","-0.10%"
"02/02/2024","5.203","5.203","5.203","5.203","-0.25%"
"01/02/2024","5.216","5.216","5.216","5.216","0.23%"
"31/01/2024","5.204","5.229","5.229","5.204","-0.48%"
"30/01/2024","5.229","5.229","5.229","5.229","-0.25%"
"29/01/2024","5.242","5.260","5.260","5.242","-0.49%"
"26/01/2024","5.268","5.268","5.268","5.268","0.02%"
"25/01/2024","5.267","5.267","5.267","5.267","-0.08%"
"24/01/2024","5.271","5.275","5.275","5.271","0.00%"
"23/01/2024","5.271","5.271","5.271","5.271","0.21%"
"22/01/2024","5.260","5.260","5.260","5.260","0.27%"
"19/01/2024","5.246","5.255","5.255","5.246","-0.32%"
"18/01/2024","5.263","5.242","5.263","5.242","0.40%"
"17/01/2024","5.242","5.246","5.246","5.242","-0.15%"
"16/01/2024","5.250","5.254","5.254","5.250","0.06%"
"15/01/2024","5.247","5.260","5.260","5.247","-0.15%"
"12/01/2024","5.255","5.289","5.289","5.255","-0.64%"
"11/01/2024","5.289","5.289","5.289","5.289","0.57%"
"10/01/2024","5.259","5.259","5.259","5.259","-0.55%"
"09/01/2024","5.288","5.288","5.288","5.288","0.40%"
"08/01/2024","5.267","5.258","5.267","5.258","0.19%"
"05/01/2024","5.257","5.261","5.261","5.257","-0.68%"
"04/01/2024","5.293","5.293","5.293","5.293","-0.08%"
"03/01/2024","5.297","5.297","5.297","5.297","0.02%"
"02/01/2024","5.296","5.287","5.296","5.283","-1.00%"
"01/01/2024","5.350","5.350","5.350","5.350","1.07%"
"29/12/2023","5.293","5.289","5.293","5.285","0.25%"
"28/12/2023","5.280","5.284","5.284","5.280","-0.32%"
"27/12/2023","5.297","5.297","5.297","5.297","-0.08%"
"26/12/2023","5.301","5.302","5.302","5.293","0.00%"
"25/12/2023","5.301","5.302","5.302","5.293","-0.02%"
"22/12/2023","5.302","5.302","5.302","5.293","-0.08%"
"21/12/2023","5.306","5.310","5.310","5.306","0.17%"
"20/12/2023","5.297","5.305","5.305","5.297","-0.45%"
"19/12/2023","5.321","5.317","5.321","5.317","0.40%"
"18/12/2023","5.300","5.309","5.309","5.300","-0.53%"
"15/12/2023","5.328","5.293","5.328","5.293","0.41%"
"14/12/2023","5.306","5.306","5.306","5.306","-0.30%"
"13/12/2023","5.322","5.297","5.322","5.297","0.34%"
"12/12/2023","5.304","5.317","5.317","5.304","-0.34%"
"11/12/2023","5.322","5.327","5.327","5.322","-0.28%"
"08/12/2023","5.337","5.332","5.337","5.332","0.26%"
"07/12/2023","5.323","5.323","5.323","5.323","0.09%"
"06/12/2023","5.318","5.343","5.343","5.318","-0.37%"
"05/12/2023","5.338","5.317","5.338","5.313","0.30%"
"04/12/2023","5.322","5.322","5.322","5.322","-0.11%"
"01/12/2023","5.328","5.324","5.328","5.324","0.09%"
"30/11/2023","5.323","5.323","5.323","5.323","-0.06%"
"29/11/2023","5.326","5.347","5.347","5.326","-0.06%"
"28/11/2023","5.329","5.333","5.333","5.329","-0.11%"
"27/11/2023","5.335","5.340","5.340","5.335","-0.43%"
"24/11/2023","5.358","5.371","5.371","5.358","-0.30%"
"23/11/2023","5.374","5.352","5.374","5.352","0.26%"
"22/11/2023","5.360","5.355","5.360","5.355","0.19%"
"21/11/2023","5.350","5.350","5.350","5.350","0.02%"
"20/11/2023","5.349","5.349","5.349","5.349","0.07%"
"17/11/2023","5.345","5.341","5.345","5.341","0.19%"
"16/11/2023","5.335","5.335","5.335","5.335","0.24%"
"15/11/2023","5.322","5.339","5.339","5.322","-0.52%"
"14/11/2023","5.350","5.354","5.354","5.350","1.04%"
"13/11/2023","5.295","5.295","5.295","5.295","-0.21%"
"10/11/2023","5.306","5.306","5.306","5.306","0.09%"
"09/11/2023","5.301","5.318","5.318","5.301","-0.32%"
"08/11/2023","5.318","5.313","5.318","5.313","0.19%"
"07/11/2023","5.308","5.367","5.367","5.308","0.49%"
"06/11/2023","5.282","5.282","5.282","5.282","0.04%"
"03/11/2023","5.280","5.289","5.289","5.280","-0.32%"
"02/11/2023","5.297","5.310","5.318","5.297","0.17%"
"01/11/2023","5.288","5.292","5.292","5.288","-0.94%"
