Date, Open, High, Low, Close
05/24/24, 4.533, 4.564, 4.502, 4.533
05/23/24, 4.476, 4.543, 4.446, 4.533
05/22/24, 4.327, 4.484, 4.327, 4.476
05/21/24, 4.369, 4.369, 4.324, 4.327
05/20/24, 4.337, 4.390, 4.328, 4.369
05/17/24, 4.296, 4.342, 4.296, 4.337
05/16/24, 4.272, 4.300, 4.246, 4.296
05/15/24, 4.366, 4.366, 4.250, 4.272
05/14/24, 4.403, 4.403, 4.320, 4.366
05/13/24, 4.339, 4.403, 4.313, 4.403
05/10/24, 4.308, 4.344, 4.254, 4.339
05/09/24, 4.330, 4.372, 4.298, 4.308
05/08/24, 4.339, 4.365, 4.323, 4.330
05/07/24, 4.397, 4.397, 4.315, 4.339
05/06/24, 4.397, 4.397, 4.397, 4.397
05/03/24, 4.467, 4.484, 4.356, 4.397
05/02/24, 4.566, 4.566, 4.457, 4.467
05/01/24, 4.537, 4.586, 4.523, 4.566
04/30/24, 4.480, 4.556, 4.477, 4.537
04/29/24, 4.519, 4.520, 4.457, 4.480
04/26/24, 4.535, 4.546, 4.480, 4.519
04/25/24, 4.495, 4.581, 4.464, 4.535
04/24/24, 4.404, 4.527, 4.404, 4.495
04/23/24, 4.349, 4.454, 4.349, 4.404
04/22/24, 4.416, 4.436, 4.349, 4.349
04/19/24, 4.500, 4.528, 4.403, 4.416
04/18/24, 4.493, 4.503, 4.433, 4.500
04/17/24, 4.515, 4.557, 4.487, 4.493
04/16/24, 4.436, 4.549, 4.434, 4.515
04/15/24, 4.343, 4.469, 4.343, 4.436
04/12/24, 4.403, 4.403, 4.293, 4.343
04/11/24, 4.342, 4.457, 4.342, 4.403
04/10/24, 4.183, 4.347, 4.170, 4.342
04/09/24, 4.224, 4.224, 4.169, 4.183
04/08/24, 4.209, 4.265, 4.201, 4.224
04/05/24, 4.154, 4.233, 4.140, 4.209
04/04/24, 4.173, 4.183, 4.095, 4.154
04/03/24, 4.216, 4.226, 4.146, 4.173
04/02/24, 4.120, 4.243, 4.120, 4.216
04/01/24, 4.120, 4.120, 4.120, 4.120
03/29/24, 4.120, 4.120, 4.120, 4.120
03/28/24, 4.103, 4.153, 4.091, 4.120
03/27/24, 4.133, 4.155, 4.096, 4.103
03/26/24, 4.143, 4.148, 4.085, 4.133
03/25/24, 4.085, 4.164, 4.056, 4.143
03/22/24, 4.148, 4.148, 4.045, 4.085
03/21/24, 4.198, 4.198, 4.063, 4.148
03/20/24, 4.235, 4.235, 4.160, 4.198
03/19/24, 4.275, 4.275, 4.216, 4.235
03/18/24, 4.297, 4.302, 4.247, 4.275
03/15/24, 4.268, 4.332, 4.268, 4.297
03/14/24, 4.220, 4.284, 4.181, 4.268
03/13/24, 4.161, 4.231, 4.138, 4.220
03/12/24, 4.191, 4.191, 4.097, 4.161
03/11/24, 4.201, 4.233, 4.168, 4.191
03/08/24, 4.251, 4.258, 4.172, 4.201
03/07/24, 4.199, 4.276, 4.178, 4.251
03/06/24, 4.237, 4.290, 4.191, 4.199
03/05/24, 4.296, 4.305, 4.202, 4.237
